id,year,sport,medal_type
544,1968,"Equestrianism Mixed Three-Day Event, Individual",Silver
545,1968,"Equestrianism Mixed Three-Day Event, Team",Gold
546,1936,Basketball Men's Basketball,Silver
547,1908,Hockey Men's Hockey,Silver
548,1920,"Fencing Men's epee, Team",Gold
549,1964,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
550,2004,Water Polo Women's Water Polo,Gold
551,1920,"Athletics Men's Cross-Country, Team",Bronze
552,2002,Ice Hockey Women's Ice Hockey,Bronze
553,1960,Ice Hockey Men's Ice Hockey,Bronze
554,1964,Ice Hockey Men's Ice Hockey,Gold
555,1996,Football Men's Football,Silver
556,1936,"Fencing Men's epee, Team",Silver
557,1904,Lacrosse Men's Lacrosse,Bronze
558,1952,Sailing Mixed Three Person Keelboat,Silver
559,1912,Athletics Men's Triple Jump,Bronze
560,1920,Athletics Men's Triple Jump,Bronze
561,1952,Ice Hockey Men's Ice Hockey,Bronze
562,1920,Sailing Mixed 40 metres,Silver
563,1948,Athletics Men's 4 x 400 metres Relay,Bronze
564,2000,Football Men's Football,Gold
565,1988,Football Men's Football,Silver
566,2012,Handball Women's Handball,Bronze
567,2012,Boxing Men's Flyweight,Bronze
568,2000,Athletics Women's 100 metres Hurdles,Silver
569,1994,Cross Country Skiing Men's 30 kilometres,Gold
570,1994,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
571,1998,Cross Country Skiing Men's 10/15 kilometres Pursuit,Gold
572,1998,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
573,2002,Cross Country Skiing Men's 10/10 kilometres Pursuit,Gold
574,2002,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
575,2000,Swimming Women's 50 metres Freestyle,Silver
576,2000,Swimming Women's 100 metres Freestyle,Silver
577,2000,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
578,1988,"Fencing Men's Sabre, Team",Silver
579,2012,Handball Women's Handball,Gold
580,2016,Handball Women's Handball,Bronze
581,1956,Bobsleigh Men's Four,Gold
582,2008,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
583,1992,Rowing Women's Coxless Pairs,Silver
584,1912,Athletics Men's 10 kilometres Walk,Bronze
585,2014,Ice Hockey Women's Ice Hockey,Bronze
586,1948,Figure Skating Women's Singles,Bronze
587,1952,Figure Skating Women's Singles,Gold
588,2000,Football Men's Football,Bronze
589,2014,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
590,1928,"Equestrianism Men's Jumping, Team",Gold
591,1972,Basketball Men's Basketball,Bronze
592,2012,Boxing Men's Bantamweight,Bronze
593,2016,Boxing Men's Lightweight,Bronze
594,2012,Judo Women's Middleweight,Bronze
595,2016,Judo Women's Middleweight,Silver
596,1956,Bobsleigh Men's Two,Silver
597,1956,Bobsleigh Men's Four,Silver
598,2012,Volleyball Men's Volleyball,Silver
599,1920,"Equestrianism Men's Jumping, Team",Bronze
600,1924,"Equestrianism Men's Three-Day Event, Team",Bronze
601,2004,Boxing Men's Super-Heavyweight,Silver
602,1980,Biathlon Men's 10 kilometres Sprint,Bronze
603,1980,Biathlon Men's 20 kilometres,Gold
604,1980,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
605,1980,"Fencing Men's Sabre, Team",Gold
606,2000,Gymnastics Men's Team All-Around,Bronze
607,2006,Cross Country Skiing Men's Team Sprint,Bronze
608,1920,Weightlifting Men's Heavyweight,Silver
609,1992,Football Men's Football,Bronze
610,1904,Rowing Men's Coxless Fours,Silver
611,1996,Gymnastics Women's Individual All-Around,Bronze
612,1996,Gymnastics Women's Team All-Around,Bronze
613,1996,Gymnastics Women's Floor Exercise,Silver
614,1996,Gymnastics Women's Horse Vault,Gold
615,2000,Gymnastics Women's Individual All-Around,Gold
616,2000,Gymnastics Women's Team All-Around,Gold
617,2000,Gymnastics Women's Floor Exercise,Bronze
618,1992,Football Men's Football,Bronze
619,1928,Water Polo Men's Water Polo,Gold
620,1980,Luge Women's Singles,Bronze
621,1996,Football Men's Football,Bronze
622,2004,Rowing Men's Lightweight Coxless Fours,Bronze
623,1972,Boxing Men's Middleweight,Bronze
624,1996,Hockey Men's Hockey,Silver
625,1996,"Shooting Men's Air Rifle, 10 metres",Bronze
626,1996,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
627,1980,Hockey Men's Hockey,Silver
628,1960,Hockey Men's Hockey,Bronze
629,1996,Hockey Men's Hockey,Silver
630,2008,Hockey Men's Hockey,Silver
631,1932,Sailing Mixed One Person Dinghy,Bronze
632,2000,Sailing Women's One Person Dinghy,Bronze
633,1984,Volleyball Men's Volleyball,Silver
634,1992,Volleyball Men's Volleyball,Gold
635,1960,Basketball Men's Basketball,Bronze
636,1964,Basketball Men's Basketball,Bronze
637,1992,Football Men's Football,Gold
638,2000,Football Men's Football,Silver
639,1960,Water Polo Men's Water Polo,Gold
640,2008,Football Men's Football,Silver
641,1928,Gymnastics Women's Team All-Around,Silver
642,2000,Softball Women's Softball,Gold
643,1920,"Athletics Men's 3,000 metres Steeplechase",Bronze
644,1964,Water Polo Men's Water Polo,Gold
645,1948,Sailing Mixed 6 metres,Bronze
646,1972,"Canoeing Men's Canadian Doubles, Slalom",Gold
647,2002,Alpine Skiing Men's Slalom,Silver
648,1952,Rowing Men's Coxed Eights,Silver
649,2004,Rowing Men's Lightweight Coxless Fours,Bronze
650,1964,Rowing Men's Coxed Eights,Gold
651,1964,Rowing Men's Coxed Eights,Gold
652,2002,"Ski Jumping Men's Normal Hill, Individual",Gold
653,2002,"Ski Jumping Men's Large Hill, Individual",Gold
654,2010,"Ski Jumping Men's Normal Hill, Individual",Gold
655,2010,"Ski Jumping Men's Large Hill, Individual",Gold
656,1900,Rowing Men's Coxed Fours,Bronze
657,1976,"Equestrianism Mixed Three-Day Event, Team",Silver
658,1996,Football Men's Football,Gold
659,2002,Ice Hockey Men's Ice Hockey,Silver
660,1908,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Gold
661,1908,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Bronze
662,1964,Athletics Women's 400 metres,Bronze
663,2012,Handball Women's Handball,Bronze
664,2012,Athletics Men's 800 metres,Silver
665,1976,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
666,1920,"Shooting Men's Military Pistol, Team",Bronze
667,1920,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze
668,2008,"Wrestling Men's Featherweight, Greco-Roman",Bronze
669,1908,"Fencing Men's epee, Team",Silver
670,1988,Cycling Men's 100 kilometres Team Time Trial,Gold
671,1900,Rugby Men's Rugby,Silver
672,2016,"Wrestling Women's Lightweight, Freestyle",Bronze
673,1920,"Fencing Men's Foil, Team",Silver
674,1920,"Fencing Men's epee, Team",Bronze
675,1928,"Fencing Men's epee, Team",Silver
676,1976,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
677,1908,Gymnastics Men's Team All-Around,Silver
678,1912,"Gymnastics Men's Team All-Around, Swedish System",Bronze
679,1968,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
680,1972,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
681,1996,Football Men's Football,Gold
682,2016,Football Men's Football,Bronze
683,1936,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
684,2016,Judo Men's Half-Lightweight,Silver
685,1984,Judo Men's Lightweight,Gold
686,1988,"Wrestling Men's Featherweight, Greco-Roman",Bronze
687,1992,"Wrestling Men's Bantamweight, Greco-Roman",Gold
688,1988,Table Tennis Men's Doubles,Bronze
689,2008,Handball Women's Handball,Bronze
690,2008,Judo Women's Half-Lightweight,Silver
691,2012,Judo Women's Half-Lightweight,Gold
692,1998,"Short Track Speed Skating Women's 3,000 metres Relay",Gold
693,2006,Short Track Speed Skating Men's 500 metres,Bronze
694,2006,"Short Track Speed Skating Men's 1,000 metres",Gold
695,2006,"Short Track Speed Skating Men's 1,500 metres",Gold
696,2006,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
697,2014,Short Track Speed Skating Men's 500 metres,Gold
698,2014,"Short Track Speed Skating Men's 1,000 metres",Gold
699,2014,"Short Track Speed Skating Men's 1,500 metres",Bronze
700,2014,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
701,1984,Boxing Men's Welterweight,Silver
702,1998,Short Track Speed Skating Men's 500 metres,Silver
703,1998,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
704,2002,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
705,1996,Softball Women's Softball,Silver
706,1996,Volleyball Women's Volleyball,Bronze
707,1996,Volleyball Women's Volleyball,Bronze
708,1964,Bobsleigh Men's Four,Gold
709,1980,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
710,2000,Rhythmic Gymnastics Women's Group,Silver
711,1992,Cycling Men's 100 kilometres Team Time Trial,Silver
712,1980,Handball Women's Handball,Silver
713,1984,Handball Women's Handball,Gold
714,2004,Tennis Men's Doubles,Bronze
715,1952,Hockey Men's Hockey,Silver
716,1972,Football Men's Football,Gold
717,2016,Judo Women's Heavyweight,Gold
718,1948,"Wrestling Men's Featherweight, Greco-Roman",Silver
719,1952,"Wrestling Men's Lightweight, Freestyle",Gold
720,2002,Bobsleigh Men's Two,Silver
721,1984,Hockey Women's Hockey,Bronze
722,1906,Football Men's Football,Gold
723,1928,"Ski Jumping Men's Normal Hill, Individual",Gold
724,1908,"Wrestling Men's Middleweight, Greco-Roman",Bronze
725,1996,Handball Women's Handball,Gold
726,2016,Rowing Women's Coxless Pairs,Bronze
727,1996,Football Women's Football,Bronze
728,1912,"Gymnastics Men's Team All-Around, Free System",Bronze
729,1996,Handball Women's Handball,Gold
730,2000,Handball Women's Handball,Gold
731,1906,Gymnastics Men's Team All-Around,Silver
732,1900,Athletics Men's Pole Vault,Bronze
733,1906,Gymnastics Men's Team All-Around,Gold
734,1908,Gymnastics Men's Team All-Around,Silver
735,1920,"Gymnastics Men's Team All-Around, Free System",Gold
736,1948,Rowing Men's Coxed Pairs,Gold
737,1948,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
738,1920,"Wrestling Men's Lightweight, Greco-Roman",Bronze
739,1948,Swimming Women's 100 metres Freestyle,Gold
740,1948,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
741,1952,"Speed Skating Men's 1,500 metres",Gold
742,1952,"Speed Skating Men's 5,000 metres",Gold
743,1952,"Speed Skating Men's 10,000 metres",Gold
744,1912,"Gymnastics Men's Team All-Around, Free System",Bronze
745,1912,"Gymnastics Men's Team All-Around, Swedish System",Bronze
746,1920,"Gymnastics Men's Team All-Around, Free System",Silver
747,1988,Handball Women's Handball,Silver
748,2004,Handball Women's Handball,Gold
749,1992,Sailing Women's One Person Dinghy,Gold
750,2008,Rowing Men's Lightweight Coxless Fours,Gold
751,1908,Football Men's Football,Silver
752,1912,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze
753,1996,Football Women's Football,Bronze
754,1928,"Athletics Men's 3,000 metres Steeplechase",Bronze
755,1912,"Gymnastics Men's Team All-Around, Swedish System",Silver
756,1960,Football Men's Football,Silver
757,1936,"Ski Jumping Men's Normal Hill, Individual",Bronze
758,1980,"Speed Skating Men's 1,500 metres",Bronze
759,1906,Football Men's Football,Gold
760,1984,Athletics Women's Marathon,Silver
761,2008,Football Men's Football,Bronze
762,2004,Volleyball Men's Volleyball,Gold
763,2008,Volleyball Men's Volleyball,Silver
764,2012,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
765,2000,Athletics Women's 4 x 400 metres Relay,Gold
766,2008,Baseball Men's Baseball,Bronze
767,1948,"Equestrianism Men's Three-Day Event, Team",Gold
768,2004,Baseball Men's Baseball,Silver
769,1952,Rowing Men's Coxed Eights,Bronze
770,1960,Rowing Men's Coxed Eights,Silver
771,1964,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
772,1968,"Shooting Mixed Free Rifle, Three Positions, 300 metres",Gold
773,1992,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
774,2012,Swimming Women's 10 kilometres Open Water,Silver
775,2014,Snowboarding Women's Slopestyle,Gold
776,2010,Snowboarding Men's Parallel Giant Slalom,Gold
777,1932,Athletics Men's Discus Throw,Gold
778,1972,Sailing Mixed Two Person Keelboat,Gold
779,2016,Volleyball Men's Volleyball,Bronze
780,1948,Diving Men's Springboard,Silver
781,1952,Diving Men's Springboard,Silver
782,1968,Sailing Mixed 5.5 metres,Bronze
783,1956,Weightlifting Men's Heavyweight,Gold
784,1984,Sailing Mixed Multihull,Bronze
785,1928,Athletics Men's 110 metres Hurdles,Silver
786,1972,Sailing Mixed Three Person Keelboat,Gold
787,1932,Ice Hockey Men's Ice Hockey,Silver
788,1956,Ice Hockey Men's Ice Hockey,Silver
789,1908,"Cycling Men's Team Pursuit, 1,980 yards",Bronze
790,1900,Cricket Men's Cricket,Silver
791,1924,Ice Hockey Men's Ice Hockey,Bronze
792,1988,Basketball Men's Basketball,Bronze
793,1984,"Canoeing Women's Kayak Singles, 500 metres",Gold
794,1984,"Canoeing Women's Kayak Doubles, 500 metres",Gold
795,1984,"Canoeing Women's Kayak Fours, 500 metres",Silver
796,1992,"Canoeing Women's Kayak Doubles, 500 metres",Silver
797,1992,"Canoeing Women's Kayak Fours, 500 metres",Bronze
798,1996,"Canoeing Women's Kayak Doubles, 500 metres",Gold
799,1996,"Canoeing Women's Kayak Fours, 500 metres",Bronze
800,1952,Ice Hockey Men's Ice Hockey,Bronze
801,1920,"Gymnastics Men's Team All-Around, Swedish System",Gold
802,1964,Ice Hockey Men's Ice Hockey,Silver
803,1920,"Shooting Men's Free Pistol, 50 metres, Team",Silver
804,2002,Ice Hockey Women's Ice Hockey,Bronze
805,1920,"Gymnastics Men's Team All-Around, Swedish System",Gold
806,1912,Tug-Of-War Men's Tug-Of-War,Gold
807,1968,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
808,2006,Ice Hockey Women's Ice Hockey,Silver
809,1920,Water Polo Men's Water Polo,Bronze
810,1984,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
811,1948,"Wrestling Men's Welterweight, Greco-Roman",Gold
812,1952,"Wrestling Men's Welterweight, Greco-Roman",Silver
813,2002,Ice Hockey Women's Ice Hockey,Bronze
814,2006,Ice Hockey Women's Ice Hockey,Silver
815,1912,"Athletics Men's Cross-Country, Individual",Silver
816,1912,"Athletics Men's Cross-Country, Team",Gold
817,2016,Football Women's Football,Silver
818,2012,Handball Men's Handball,Silver
819,1992,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
820,2006,Cross Country Skiing Women's Team Sprint,Gold
821,1992,Handball Men's Handball,Silver
822,1996,Handball Men's Handball,Silver
823,2000,Handball Men's Handball,Silver
824,2012,Handball Men's Handball,Silver
825,1908,"Wrestling Men's Middleweight, Greco-Roman",Silver
826,1988,Ice Hockey Men's Ice Hockey,Bronze
827,1988,Ice Hockey Men's Ice Hockey,Bronze
828,1992,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
829,1908,Water Polo Men's Water Polo,Bronze
830,1912,Water Polo Men's Water Polo,Silver
831,1920,Water Polo Men's Water Polo,Bronze
832,1992,Handball Men's Handball,Silver
833,1996,Handball Men's Handball,Silver
834,1952,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
835,1980,Ice Hockey Men's Ice Hockey,Bronze
836,1948,Football Men's Football,Gold
837,1936,"Wrestling Men's Welterweight, Freestyle",Silver
838,1928,Cross Country Skiing Men's 50 kilometres,Bronze
839,1912,Water Polo Men's Water Polo,Silver
840,1920,Water Polo Men's Water Polo,Bronze
841,1952,Ice Hockey Men's Ice Hockey,Bronze
842,1952,Ice Hockey Men's Ice Hockey,Bronze
843,1980,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
844,1976,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
845,1980,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
846,1976,Weightlifting Men's Bantamweight,Bronze
847,2012,Football Women's Football,Silver
848,2000,Softball Women's Softball,Silver
849,2004,Baseball Men's Baseball,Bronze
850,1936,Polo Men's Polo,Gold
851,1988,Football Men's Football,Silver
852,1924,Football Men's Football,Gold
853,1928,Football Men's Football,Gold
854,1996,Football Men's Football,Bronze
855,1956,Modern Pentathlon Men's Team,Silver
856,1908,Athletics Men's High Jump,Silver
857,1920,Athletics Men's 4 x 400 metres Relay,Bronze
858,1924,Curling Men's Curling,Bronze
859,1984,Football Men's Football,Silver
860,1964,Diving Men's Springboard,Bronze
861,1998,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
862,2002,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
863,1976,Rowing Men's Coxless Fours,Silver
864,1984,Athletics Men's Shot Put,Gold
865,1980,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
866,1984,"Wrestling Men's Heavyweight, Greco-Roman",Gold
867,2004,Football Women's Football,Silver
868,2008,Football Women's Football,Silver
869,1920,Gymnastics Men's Team All-Around,Gold
870,1964,Cycling Men's 100 kilometres Team Time Trial,Silver
871,1928,Ice Hockey Men's Ice Hockey,Bronze
872,1928,Ice Hockey Men's Ice Hockey,Bronze
873,1896,"Swimming Men's 1,200 metres Freestyle",Silver
874,1998,Curling Men's Curling,Gold
875,1956,Sailing Mixed Three Person Keelboat,Silver
876,1998,Biathlon Men's 10 kilometres Sprint,Silver
877,2002,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
878,2006,Biathlon Men's 10 kilometres Sprint,Bronze
879,1960,Swimming Women's 100 metres Butterfly,Bronze
880,1960,Swimming Women's 4 x 100 metres Medley Relay,Silver
881,1904,Cycling Men's 5 mile,Bronze
882,1904,Cycling Men's 25 mile,Silver
883,2014,Curling Men's Curling,Silver
884,1996,Hockey Women's Hockey,Gold
885,1984,Swimming Women's 100 metres Backstroke,Gold
886,1984,Swimming Women's 4 x 100 metres Medley Relay,Gold
887,1908,"Cycling Men's Team Pursuit, 1,980 yards",Bronze
888,1952,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
889,1952,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
890,1980,Football Men's Football,Bronze
891,1968,Basketball Men's Basketball,Bronze
892,2000,Athletics Men's 20 kilometres Walk,Bronze
893,1980,Volleyball Women's Volleyball,Gold
894,1896,Gymnastics Men's Rope Climbing,Gold
895,1972,Gymnastics Men's Team All-Around,Silver
896,1972,Gymnastics Men's Floor Exercise,Gold
897,1972,Gymnastics Men's Horse Vault,Bronze
898,1976,Gymnastics Men's Individual All-Around,Gold
899,1976,Gymnastics Men's Team All-Around,Silver
900,1976,Gymnastics Men's Floor Exercise,Gold
901,1976,Gymnastics Men's Horse Vault,Gold
902,1976,Gymnastics Men's Parallel Bars,Silver
903,1976,Gymnastics Men's Rings,Gold
904,1976,Gymnastics Men's Pommelled Horse,Bronze
905,1980,Gymnastics Men's Individual All-Around,Silver
906,1980,Gymnastics Men's Team All-Around,Gold
907,1980,Gymnastics Men's Floor Exercise,Silver
908,1980,Gymnastics Men's Horse Vault,Gold
909,1980,Gymnastics Men's Horizontal Bar,Bronze
910,1972,Football Men's Football,Bronze
911,1984,Water Polo Men's Water Polo,Gold
912,1988,Water Polo Men's Water Polo,Gold
913,1996,Rowing Men's Coxless Pairs,Bronze
914,2000,Rowing Men's Coxless Pairs,Gold
915,1996,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
916,2012,"Wrestling Men's Heavyweight, Freestyle",Silver
917,1964,Rowing Men's Double Sculls,Bronze
918,1928,Weightlifting Men's Featherweight,Gold
919,2008,Handball Women's Handball,Silver
920,1968,"Fencing Men's epee, Team",Bronze
921,2008,"Fencing Men's epee, Team",Silver
922,2006,Speed Skating Men's Team Pursuit (8 laps),Gold
